Version;06/08/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prepared pasta salad, with vegetable, meat or fish;Salade de pâtes aux légumes, avec poisson ou viande;-;-;70,3;5,19;14;9,94;2,16;7,58;1,98;0;1,61;0;-;1,74;5,85;1,91;11;0,95;18,5;492;0,091;0,69;3,13;20;0,15;66,2;177;5,3;378;0,52;16;494;0,23;0,55;-;-;5,56;0,069;0,053;1,93;0,24;0,13;14,5;0,23
Caesar's salad (salad, chicken, croûtons, sauce);	Salade César au poulet (salade verte, fromage, croûtos, sauce);629;151;71,8;8,13;4,88;10;1,71;3,17;2;0;1,54;0;1,66;2,36;4,99;2,09;40,7;0,75;100;483;0,11;0,5;< 20;19;0,15;150;300;< 20;301;0,69;27,9;627;< 0,25;2,24;32;-;1,11;0,096;0,068;2,29;0,47;0,094;29,3;0,48
Coleslaw, w sauce, prepacked;Salade de chou ou Coleslaw, avec sauce, préemballée;435;105;80,4;0,94;5,78;8,1;4,72;< 0,35;3;1,06;1,45;0;0,34;0,63;4,83;2,2;-;0,88;39;556;0,03;1,3;< 20;9,3;0,26;29;210;< 20;353;0,27;-;1340;< 0,25;2,21;23;-;21,6;0,026;< 0,01;< 0,1;0,21;0,093;14,6;-
Tabbouleh with chicken, prepacked;Taboulé ou Salade de couscous au poulet, préemballé;-;-;62,6;6,4;20,6;7,45;2,48;16,6;2,02;0;1,59;0;-;0,86;3,78;1,75;8,24;1,05;18;661;0,1;0,8;< 20;24;0,32;100;190;< 20;424;0,65;< 21;135;< 0,25;1,48;3,22;-;< 0,5;0,14;0,045;1,16;0,4;0,096;96,5;0,1
Soup, lentils, prepacked, to be reheated;Soupe aux lentilles, préemballée à réchauffer;224;53,2;85,8;3,28;6,6;1,12;0,7;-;1,8;0;1,24;0;traces;0,45;0,52;0,13;3;0,36;25;-;0,17;1,07;4;19;0,24;74;144;16,1;143;0,61;0;430;-;0;-;-;1,7;0,07;0,045;0,55;0,14;0,09;20;0,12
Soup, chicken and vegetables, prepacked, to be reheated;Soupe à la volaille et aux légumes, préemballée à réchauffer;129;30,8;-;3,09;2,6;0,8;1,2;-;0,4;0;1,75;0;traces;0,3;-;-;-;1,75;-;-;-;-;-;-;-;-;-;-;700;-;-;-;-;-;-;-;-;-;-;1,9;-;-;-;0,11
Soup, mixed vegetables, prepacked, to be reheated;Soupe aux légumes variés, préemballée à réchauffer;165;39,4;90,2;0,76;5,05;1,56;1,72;2,2;1,1;0;1;0;traces;0,55;0,5;0,11;3,7;0,69;14;442;0,02;0,14;< 20;5,3;0,04;19;110;< 20;275;0,11;< 21;1710;0;0,62;2,53;-;5,75;0,29;0,062;0,31;0,33;0,16;39,8;0,052
Soup, fish and/or crustacean, prepacked, to be reheated;Soupe de poissons et / ou crustacés, préemballée à réchauffer;179;42,8;89,4;3,45;2,88;1,79;0,9;1,7;0,69;0;1,66;0;traces;0,58;0,93;0,25;30;0,86;130;611;0,07;0,61;70;11;0,05;80;110;< 20;343;0,25;59,8;446;< 0,2;0,32;0,93;-;< 0,5;0,03;0,039;0,63;0,18;0,032;< 5;1,35
Soup, mixed vegetables, dehydrated and reconstituted;Soupe aux légumes variés, déshydratée reconstituée;144;34,5;90,9;0,86;4,43;1,22;1,07;2,6;1,16;0;1,02;0;traces;0,39;0,45;0,091;2,12;0,69;21;426;0,03;0,19;1;7;0,05;12,5;60;< 20;276;0,12;< 21;261;0;0,19;2,42;-;3,28;0,05;0,24;0,13;0,12;0,044;8,4;0,029
Soup, leek and potato, prepacked, to be reheated;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;155;37,1;90,8;0,79;4,46;1,51;0,81;3,2;1,28;0;0,97;0;traces;0,6;0,53;0,27;4,73;0,73;16;450;0,02;0,17;< 20;5,6;0,04;16;94;< 20;290;0,13;< 21;120;-;0,28;9,13;-;7,95;0,01;0,03;0,23;0,14;0,23;29,3;0,045
Soup, chicken and vermicelli, prepacked, to be reheated;Soupe à la volaille et aux vermicelles, préemballée à réchauffer;129;30,8;93,5;1,3;3,86;1;0,77;-;0,56;0;1,01;0;traces;0,49;0,29;0,18;5;0,82;7,96;-;0,069;0,14;0,5;7,93;0,057;17;30,5;< 10;326;0,1;1;119;0;0,03;0;-;-;0,055;0,045;0,54;0,074;0,02;2;0,02
Broth, stock or bouillon, meat and vegetables, dehydrated and reconstituted;Bouillon de viande et légumes type pot-au-feu, prêt à consommer;24;5,78;98,1;0,44;0,1;0,4;0;0,1;0;0;1,09;0;traces;0,2;0,09;0,05;0;1,08;1;-;0;0,1;-;2;0,01;1;15;0;430;-;0;-;-;-;-;-;0;0,06;0,01;0;0,02;0,01;12;0,05
Soup, onions, prepacked, to be reheated;Soupe à l'oignon, préemballée à réchauffer;169;40,4;92,7;1,35;4,93;1,4;1,5;-;1,34;0;1,27;0;traces;0,55;-;0,26;0;0,79;12;-;0,054;0,27;-;1;0,098;4;28;-;315;0,25;1;1;0;0,11;0,2;-;0,5;0,013;0,01;0,24;0;0,02;6;0
Soup, mushrooms, prepacked, to be reheated;Soupe aux champignons, préemballée à réchauffer;201;48,2;92;0,81;4,09;3,07;0,91;-;0,52;0;1;0;traces;1,58;0,4;0,96;3,3;0,78;7;490;0,016;0,09;8,4;2;0,018;12;62;-;312;0,06;5,5;0;0,1;0,24;9,6;-;-;0,006;0,008;0,17;0,072;0,007;1;0
Soup, carrots, prepacked, to be reheated;Soupe à la carotte, préemballée à réchauffer;139;33,2;91,2;0,61;3,89;1,41;1,82;2,08;1,22;0;1,05;0;traces;0,96;0,36;0,029;-;0,65;15;-;-;0,3;-;7;-;20;140;-;259;-;4;3500;-;-;-;-;11;0,05;-;0,65;-;0,08;9;-
Soup, tomatoes, prepacked, to be reheated;Soupe à la tomate, préemballée à réchauffer;163;38,7;90,3;0,74;6,27;0,99;2,95;1,8;0,88;0;0,98;0;traces;0,36;0,29;0,3;2,9;0,64;11;416;0,03;0,14;< 20;5,9;0,04;15;130;< 20;259;0,08;< 21;1680;0,6;0,69;1,01;-;6,4;0,01;0,056;0,58;0,2;0,2;23,8;0,01
Soup, chorba frik, w meat and frik;Soupe chorba frik, à base de viande et de frik;263;62,9;85,1;3,75;5,4;2,5;0,9;3,9;1,9;0;1,2;0;traces;-;-;-;11;0,84;19;-;0,07;0,97;2;17;0,31;54;157;1,4;337;0,84;4,4;172;0,02;0,6;-;-;3,2;0,03;0,04;0,96;0,18;0,07;16;0,11
Soup, minestrone, prepacked, to be reheated;Soupe minestrone, préemballée à réchauffer;204;48,8;89,4;1,2;5,6;2;1,7;-;1,8;0;1;0;traces;0,6;0,34;0,29;1,5;0,75;33,3;460;0,11;0,56;1;12,5;0,11;34,5;106;< 2,2;300;0,19;0;885;0;0,67;3,2;-;1,25;0,023;0,034;0,44;0,22;0,071;10;0
Soup, pistou (basil, garlic and olive oil), dehydrated and reconstituted;Soupe au pistou, déshydratée reconstituée;128;30,4;88,2;1,2;5,2;0,35;1,2;4;0,8;0;1,08;0;traces;< 0,2;0,23;0,06;1;0,64;19;-;0,1;0,4;1;14;0,1;24;132;2,2;256;0,19;0;900;-;0,2;-;-;7;-;-;-;-;0,07;18;-
Soup, fish and/or crustacean, dehydrated and reconstituted;Soupe de poissons et / ou crustacés, déshydratée reconstituée;122;29;90,6;0,91;5,09;0,5;1,06;-;0,21;0;1,15;0;traces;0,14;-;-;-;0,63;-;-;-;-;-;-;-;0;0,01;-;253;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup, Asian-style with noodles, dehydrated and reconstituted;Soupe asiatique, avec pâtes, déshydratée reconstituée;126;29,8;93,3;0,97;5,25;0,44;1,21;-;0,49;0;0,96;0;traces;0,17;-;-;-;0,84;-;-;-;-;-;-;-;-;37,8;-;334;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup, Moroccan, dehydrated and reconstituted;Soupe marocaine, déshydratée reconstituée;145;34,3;90;1,2;5,77;0,55;1,49;-;0,72;0;1,08;0;traces;0,23;-;-;-;0,8;-;-;-;-;-;-;-;-;80,5;-;318;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup, leek and potato, dehydrated and reconstituted;Soupe aux poireaux et pommes de terre, déshydratée reconstituée;110;26,1;92,8;0,63;4,84;0,41;0,91;-;0,28;0;0,8;0;traces;0,2;-;-;-;0,72;-;417;-;-;-;-;-;0,013;0,023;-;292;-;10;90;-;-;-;-;30;0,07;-;0,8;0,27;-;-;-
Soup, chicken and vegetables, dehydrated and reconstituted;Soupe à la volaille et aux légumes, déshydratée reconstituée;115;27,3;-;0,99;4,58;0,44;0,55;-;0,51;0;0,73;0;traces;0,17;-;-;-;0,73;-;-;-;-;-;-;-;-;-;-;292;-;-;-;-;-;-;-;3;-;-;-;-;0,03;8;-
Broth, stock or bouillon, beef, dehydrated and reconstituted;Bouillon de boeuf, déshydraté reconstitué;38,3;9,05;97,6;0,6;1,33;0,15;0,33;0;0;0;1,03;0;traces;0,057;0,068;0,0072;0;0,74;5,25;-;0,041;0,15;-;2;0,027;0,01;0,01;0;290;0,048;0;0;0;0,01;0;-;0;0,0029;0,015;0,55;0,016;0,0083;1,75;0,065
Soup, asparagus, dehydrated and reconstituted;Soupe aux asperges, déshydratée reconstituée;148;35,3;90,8;0,6;5,14;1,31;0,99;2,8;0,28;0;0,91;0;traces;0,73;-;-;-;0,76;-;-;-;-;-;-;-;0,015;0,035;-;303;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-
Soup, tomatoes and vermicelli, prepacked, to be reheated;Soupe à la tomate et aux vermicelles, préemballée à réchauffer;158;37,7;-;1,1;5,87;0,8;3,43;-;1,3;0;0,77;0;traces;0,5;-;-;-;0,77;-;-;-;-;-;-;-;-;-;-;307;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-
Soup, cereals and vegetables, dehydrated and reconstituted;Soupe aux céréales et aux légumes, déshydratée reconstituée;201;47,8;90;1,4;6,8;1,4;1,2;-;1,2;0;1,04;0;traces;0,8;-;-;-;0,78;12,5;-;-;0,29;-;9,35;-;-;94;-;312;-;-;-;-;-;-;-;3,84;0,04;-;0,47;-;0,07;16,8;-
Soup, tomatoes, dehydrated and reconstituted;Soupe à la tomate, déshydratée reconstituée;152;36,2;90,4;0,76;5,79;0,97;2,44;2,4;0,64;0;1,03;0;traces;0,32;0,41;0,16;2,02;0,69;11;417;0,03;0,14;< 20;5;0,04;10;65;< 20;278;0,1;< 21;147;-;0,25;1,33;-;< 0,5;0,02;0,017;0,46;0,064;0,027;6,85;0,14
Soup, mushrooms, dehydrated and reconstituted;Soupe aux champignons, déshydratée reconstituée;158;37,8;91,3;0,65;4,37;1,79;0,63;2,3;0,82;0;1,06;0;traces;0,73;0,6;0,15;0,87;0,79;10;512;0,02;0,02;< 20;2,5;0,03;9,51;48;< 20;311;0,07;< 21;14,7;< 0,25;0,24;< 0,8;-;< 0,5;0,03;0,034;0,37;0,16;0,033;8,25;0,028
Soup, onions, dehydrated and reconstituted;Soupe à l'oignon, déshydratée reconstituée;101;24;94,1;0,58;4,37;0,4;1,3;-;0,31;0;1,03;0;traces;0,23;-;-;-;0,79;20;517;0,043;-;1;5,26;0,043;0,01;56,7;< 3,35;318;0,083;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup, pumpkin, prepacked, to be reheated;Soupe au potiron, préemballée à réchauffer;150;35,9;91,8;0,67;4,13;1,56;2,37;1,1;1,31;0;0,95;0;traces;0,88;0,56;0,069;4,95;0,65;15;421;0,03;0,14;< 20;5,8;0,04;17;130;< 20;256;0,13;< 21;2530;0;0,51;1,03;-;< 0,5;0,018;0,014;< 0,1;0,13;0,065;9,35;0,036
Broth, stock or bouillon, poultry, dehydrated and reconstituted;Bouillon de volaille, déshydraté reconstitué;23,5;5,58;97,1;0,6;0,5;0,13;0,18;0;< 0,0001;0;1,44;0;traces;0,083;0,022;0,018;0;0,78;5;-;0;0,05;-;1,5;0,01;0;10;0;312;0,01;1;0;-;-;-;-;0;0,005;0,01;0,1;0,02;0;1;0,055
Broth, stock or bouillon, vegetables, dehydrated and reconstituted;Bouillon de légumes, déshydraté reconstitué;22,7;5,38;98;0,34;0,65;0,16;0,19;0,2;0;0;1;0;traces;0,14;0,011;0,0067;0;0,61;1;-;0;0,1;-;2;0,01;0;8;-;240;-;0;2;-;-;-;-;0;0,11;0,01;0,1;-;0;1;0
Soup, tomato and vermicelli, dehydrated and reconstituted;Soupe à la tomate et aux vermicelles, déshydratée reconstituée;91,5;21,6;92,2;0,63;4,21;0,18;0,72;3,5;0,32;0;0,88;0;traces;0,099;-;-;< 0,7;0,68;9,1;343;0,05;0,18;< 20;4,8;0,06;0;62;< 20;271;0,08;< 21;162;< 0,25;0,34;< 0,8;-;< 0,5;0,02;0,04;1,44;1,04;0,018;11;-
Soup, chicken and vermicelli, dehydrated and reconstituted;Soupe à la volaille et aux vermicelles, déshydratée reconstituée;90;21,3;94,2;0,75;3,87;0,25;0,31;3,4;0,26;0;0,74;0;traces;0,081;-;-;0,72;0,68;7,2;379;0,02;0,1;< 20;3,5;0,05;14;36;< 20;272;0,1;< 21;20,7;-;< 0,08;< 0,8;-;< 0,5;0,28;< 0,01;< 0,1;0,041;0,025;-;0,026
Soup, pistou (basil, garlic and olive oil), prepacked, to be reheated;Soupe au pistou, préemballée à réchauffer;134;31,9;-;2;4,1;0,5;< 0,25;-;1,5;0;0,9;0;traces;0,2;0,2;< 0,1;-;0,65;-;-;-;-;-;-;-;-;-;-;260;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup, pumpkin, dehydrated and reconstituted;Soupe au potiron, déshydratée reconstituée;161;38,3;-;0,79;5,61;1,24;2,64;-;0,76;0;0,7;0;traces;0,61;-;-;-;0,7;-;-;-;-;-;-;-;0,01;0,01;-;279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup, Asian-style with noodles, prepacked, to be reheated;Soupe asiatique, avec pâtes, préemballée à réchauffer;93,8;22,3;-;0,7;3,4;0,5;0,5;-;0,7;0;0,9;0;traces;0,2;-;-;-;0,9;-;-;-;-;-;-;-;-;-;-;360;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup, minestrone, dehydrated and reconstituted;Soupe minestrone, déshydratée reconstituée;132;31,3;91,3;1,14;5,53;0,34;1,07;-;0,79;0;0,97;0;traces;0,02;-;-;-;0,7;-;427;-;-;-;-;-;-;122;-;281;-;-;-;-;-;-;-;5;-;-;-;-;0,06;18;-
Soup, watercress, dehydrated and reconstituted;Soupe au cresson, déshydratée reconstituée;105;25,1;-;0,42;3,95;0,8;0,31;-;0,19;0;0,77;0;traces;0,42;-;-;-;0,77;-;-;-;-;-;-;-;-;-;-;308;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup, watercress, prepacked, to be reheated;Soupe au cresson, préemballée à réchauffer;143;34;-;1;5,4;0,8;0,9;-;0,6;0;0,78;0;traces;0,5;-;-;-;0,78;-;-;-;-;-;-;-;-;-;-;310;-;-;-;-;-;-;-;-;-;-;-;-;0,25;30;-
Soup, vegetables with cheese, prepacked, to be reheated;Soupe aux légumes avec fromage, préemballée à réchauffer;210;50,2;-;1,34;5,09;2,51;1,62;-;0,93;0;0,67;0;traces;1,58;-;-;-;0,67;-;-;-;-;-;-;-;-;-;-;268;-;-;-;-;-;-;-;11;-;-;-;-;0,3;30;-
Soup, green vegetables, prepacked, to be reheated;Soupe aux légumes verts, préemballée à réchauffer;140;33,4;90,9;1;3,84;1,32;0,81;3,03;1,05;0;0,95;0;traces;0,64;0,51;0,16;3,52;0,7;24;423;0,02;0,27;< 20;7,1;0,06;24;120;< 20;280;0,18;< 21;177;1,52;0,28;16,5;-;9;0,17;0,042;0,53;0,22;0,25;27,5;-
Soup, green vegetables, dehydrated and reconstituted;Soupe aux légumes verts, déshydratée reconstituée;146;34,8;91,8;0,72;5,31;1,07;1,07;3,3;0,54;0;0,85;0;traces;0,71;0,23;0,075;< 0,7;0,66;12;446;0,02;0,11;< 20;3;0,03;0,01;0,01;< 20;264;0,09;< 21;10,5;< 0,25;0,18;2,82;-;6,15;0,05;0,014;0,15;0,072;0,033;7,6;-
Soup, split peas, prepacked, to be reheated;Soupe aux pois cassés, préemballée à réchauffer;238;56,7;-;2,68;6,25;1,98;1,02;-;1,6;0;0,7;0;traces;0,67;-;-;-;0,7;-;-;-;-;-;-;-;-;-;-;279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup, gazpacho, cold;Soupe froide type Gaspacho ou Gazpacho;137;32,8;91,1;0,65;3,38;1,62;2,32;< 0,35;1,04;0;1,13;0;traces;0,27;-;0,16;-;0,75;11;468;0,04;0,11;< 20;8,9;0,06;25;210;< 20;293;0,1;-;291;< 0,25;1,31;52,6;-;1,98;< 0,01;0,02;0,56;0,093;0,041;< 5;-
Soup, asparagus, prepacked, to be reheated;Soupe aux asperges, préemballée à réchauffer;551;133;-;4,6;4,7;10,4;2,9;-;1;0;0,98;0;traces;5,1;-;-;-;0,98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soup (average);Soupe (aliment moyen);156;37,3;90,8;1,22;4,51;1,37;1,62;2,07;1,03;0;1,04;0;0;0,58;0,54;0,18;7,22;0,75;26,8;454;0,039;0,26;16;7,03;0,061;24;108;9,39;296;0,17;14,8;1130;;0,48;6,87;;5,19;0,049;0,036;0,47;0,22;0,11;15,9;0,22
Miso soup;Soupe miso;72,4;17,1;94,6;1,38;2,18;< 0,5;0,69;-;< 0,5;0;1,29;0;0,058;< 0,0098;< 0,0098;< 0,0098;-;1,1;18;661;0,06;0,19;70;6,9;0,08;19;49;< 20;438;0,11;-;-;< 0,25;0,26;1,15;-;-;< 0,015;< 0,01;< 0,1;0,068;< 0,01;16,5;1,98
Caen-style tripe;Tripes à la mode de Caen;491;117;74;20,4;0,51;3,68;traces;0,3;0;0;1,5;0;0;1,29;1,12;0,18;119;1,06;23;-;-;1,1;6;6,4;-;-;42,5;-;423;0,64;-;-;-;0,47;-;-;0;0,02;-;0,37;0,42;0,023;-;1,2
Caen-style tripe, prepacked;Tripes à la mode de Caen, préemballées;469;112;77,9;18,4;0,7;3,62;0,5;-;1,25;0;1,1;0;0;2,1;-;-;-;1,03;23,6;-;-;0,9;-;6,6;-;-;34,6;-;421;2,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Provencal-type tripe (with tomato);Tripes à la tomate ou à la provençale;396;94,1;76,6;15,7;0,6;3,2;< 0,4;-;0;0;1,43;0;0;1,64;1,28;0,14;-;1,23;-;751;-;-;-;-;-;-;-;-;492;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Veal stew in white sauce;Blanquette de veau;474;113;75,1;15,4;3,1;4;0,3;1,9;0,8;0;1,25;0;0,32;2,03;1,36;0,26;56,6;0,74;15;432;0,07;0,92;< 20;12;0,04;110;190;< 20;295;3,2;< 21;736;< 0,25;0,37;2,55;-;< 0,5;0,062;0,047;1,77;0,33;0,074;23,3;1,59
Burgundy-style beef stew;Boeuf bourguignon;399;94,9;78,4;8,93;6,74;3,3;1,57;1,3;1,25;0;1,36;0;0;0,88;1,18;0,44;64;0,88;16,9;409;0,053;1,75;3,8;13,3;0,054;215;230;< 2,58;354;2,91;10;-;0,5;0,6;-;-;0,8;0,07;0,1;2,3;0,3;0,23;11;0,6
Duck with sauce (green pepper sauce, hunter-style sauce,etc.);Canard en sauce (poivre vert, chasseur, etc.);605;145;-;9,55;10,2;7,3;-;-;traces;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rabbit with mustard sauce;Lapin à la moutarde;453;108;-;14,9;0,5;5;0,5;-;0,8;0;1,2;0;0;2,1;-;-;-;1,2;-;-;-;-;-;-;-;-;-;-;480;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cockerel in red wine sauce;Coq au vin;555;133;-;13;4;7;1;-;0,9;0;1,35;0;0;1;3,87;1,75;65;1,05;14;-;0,03;1,3;3,3;16;0,14;128;145;0,11;420;0,21;-;0;0,04;0,48;-;-;1,5;0,07;0,19;3,7;0,74;0,17;31;1,4
Veal olive or veal paupiette;Paupiette de veau;870;209;62,1;14,7;8,39;12,8;2,24;2,94;0,48;0;1,53;0;0;5,14;4;1,47;71,7;1,03;30,2;-;0,12;1;8,03;19,3;0,13;152;302;4,82;367;1,35;27,9;1160;0,1;0,68;-;-;1,29;0,098;0,18;3,62;0,72;0,21;18,6;0,62
Poultry paupiette;Paupiette de volaille;669;159;65,6;18,9;7,28;5,83;-;2,94;1,05;0;1,32;0;0;1,81;2,37;1,12;64,2;0,84;30,1;-;0,11;1,06;7,59;22,2;0,13;146;285;10,5;251;1,03;30,2;1160;0,19;0,7;-;-;1,67;0,095;0,14;4,53;0,66;0,28;17,5;0,35
Meat in sauce (average);Viande en sauce (aliment moyen);450;107;76,8;11,2;4,75;4,55;1,34;1,71;1,05;0;1,34;0;0,41;1,77;1,47;0,62;53,5;0,88;16,3;473;0,055;1,16;6,5;13,7;0,067;149;198;5,5;352;2,46;11,1;;0,25;0,73;;;1,19;0,064;0,077;2,49;0,4;0,17;15,1;0,76
Chicken with curry and coconut milk sauce;Poulet au curry et au lait de coco;517;124;75,2;10,6;3,15;6,9;1,49;1,65;1,1;0;1,56;0;1,47;3,03;2,06;1,37;37,3;1,07;18;625;0,05;0,51;< 20;18;0,12;110;210;< 20;427;0,44;21,3;412;< 0,25;1,65;3,22;-;2,51;0,032;< 0,01;4,08;0,62;0,17;17,5;0,15
Molokhia, jute and beef-based meal;Meloukhia, plat à base de boeuf et corete;774;187;67,7;10,6;0,68;14,7;0,68;0;4,7;0;1,6;0;0;-;-;-;23;0,93;51,3;-;0,04;2,4;2,8;30,6;0,05;88;228;2,1;373;2;0;143;0;5,1;-;-;1,5;0,03;0,14;1,36;0,32;0,12;20;0,66
Devilled pork shoulder in mustard sauce;Palette à la diable;501;120;-;13,5;2,08;6,07;1,38;-;1,45;0;2,25;0;0;2,2;-;-;-;2,25;-;-;-;1;-;-;-;-;-;-;901;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Beef tongue with Madeira wine sauce;Langue de bœuf sauce madère;746;180;-;9,5;4,5;13,5;2,5;-;1;0;1,08;0;0;6;-;-;-;1,08;-;-;-;-;-;-;-;-;-;-;430;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pork with caramel sauce;Porc au caramel;569;135;70,7;10;11,4;5,4;7,9;1,3;0,7;0;1,84;0;0;1,44;2,2;1,27;29;1,34;9,9;805;0,04;0,49;< 20;12;0,11;94;160;< 20;536;1,1;< 21;64,5;< 0,25;0,62;1,5;-;< 0,5;0,19;0,034;1,93;0,31;0,094;9,1;0,27
Meat balls, beef, with tomato sauce;Boulettes au bœuf, à la sauce tomate;487;117;-;9;5,5;6,5;-;-;traces;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Veal paupiette, cooked in oven;Paupiette de veau, cuite au four;1150;276;54,8;22;0,48;20,5;0,3;< 0,35;0,9;0;1,81;0;0;8,19;8,77;2,51;89,5;1,07;24;558;0,07;0,94;< 20;18;0,03;180;260;< 20;428;2,3;< 21;-;< 0,25;< 0,08;0,87;-;1,62;0,16;0,071;3,83;0,59;0,22;11,9;1,61
Beef carpaccio, w marinade;Carpaccio de bœuf, avec marinade;1150;278;57,2;15,2;2,37;23;0,3;0,0024;0,33;0;1,95;0;0;7,89;9,79;3,84;56,2;1,1;112;-;0,1;1,89;15,2;23,1;0,089;186;248;5,39;413;2,88;16,2;98,3;0,38;2,63;-;-;6,74;0,085;0,17;2,11;0,26;0,27;11,9;2,08
